页数,序号,标题,挂牌价格,单价,几室,面积,朝向,装修,楼层,年代,楼型,满几,发布时间,关注人数,url
1,1,首开国风美唐二期  优质小区 温馨舒适,560,"69,479元/平",2室1厅,80.6平米,东南,简装,高楼层(共21层),2015年建,板楼,满五年,7天以前发布,15人关注,https://bj.lianjia.com/ershoufang/101113443899.html
1,2,首开国风美唐三期精装修南北向三居,650,"72,440元/平",3室1厅,89.73平米,南 北,精装,低楼层(共21层),2016年建,板楼,满两年,14天以前发布,28人关注,https://bj.lianjia.com/ershoufang/101113368360.html
1,3,东向一居 无浪费无遮挡 高层采光好，电梯房集中供暖,439,"70,933元/平",1室1厅,61.89平米,东,精装,顶层(共18层),2015年建,板楼,满五年,16天以前发布,28人关注,https://bj.lianjia.com/ershoufang/101113349188.html
1,4,商品房满五年唯一，西南朝向，不临街，诚心出售,589,"71,007元/平",2室1厅,82.95平米,西南,精装,低楼层(共15层),2015年建,板楼,满五年,2个月以前发布,189人关注,https://bj.lianjia.com/ershoufang/101112616662.html
1,5,首开国风美唐二期，两个卧室，客厅都朝南，诚心出售,538,"71,382元/平",2室1厅,75.37平米,南,简装,低楼层(共18层),2014年建,板楼,满五年,2个月以前发布,138人关注,https://bj.lianjia.com/ershoufang/101112858016.html
1,6,首开国风美唐三期 高楼层两居室,646,"73,880元/平",2室1厅,87.44平米,南,精装,高楼层(共18层),2016年建,板楼,满两年,1个月以前发布,70人关注,https://bj.lianjia.com/ershoufang/101113115093.html
1,7,精装修南向二居室 业主换房出售 靠谱,659,"70,572元/平",2室1厅,93.38平米,南,精装,高楼层(共19层),2015年建,板楼,满两年,7个月以前发布,61人关注,https://bj.lianjia.com/ershoufang/101110891033.html
1,8,电梯精装两居，诚意出售，仅需契税！,616,"65,968元/平",2室2厅,93.38平米,南,精装,低楼层(共19层),2015年建,板楼,满五年,4个月以前发布,178人关注,https://bj.lianjia.com/ershoufang/101111967693.html
1,9,首开国风美唐三期，高楼层，南向2居，视野好,640,"73,194元/平",2室1厅,87.44平米,南,毛坯,高楼层(共18层),2016年建,板楼,,1个月以前发布,71人关注,https://bj.lianjia.com/ershoufang/101113089387.html
1,10,此房商品房满五年唯一，小区中间位置，不临街，不把边,659,"72,506元/平",2室1厅,90.89平米,南 北,精装,底层(共11层),2012年建,板楼,满五年,26天以前发布,38人关注,https://bj.lianjia.com/ershoufang/101113242997.html
1,11,高楼层，视野好，采光充足，南北通透,650,"66,935元/平",3室1厅,97.11平米,南 北,简装,高楼层(共20层),2014年建,板楼,满五年,9个月以前发布,505人关注,https://bj.lianjia.com/ershoufang/101110251930.html
